entity,fg,fg_salegroup,case,sfg
cfpl,3 Jar Jute Bag Gift Hamper,VA,NO_SFG_hamper,
cfpl,3pcs date balls with blister,VA,SFG_blend,date balls with blister Bulk
cfpl,4 PET WOODEN BOX WITH LID HAMPER,VA,NO_SFG_hamper,
cfpl,5 Grain Cereal 35gm,VA,SFG_blend,5 Grain Cereal Bulk
cfpl,5 Grain Cereal 50 GM,VA,SFG_blend,5 Grain Cereal Bulk
cfpl,AL BARAKAH DATES SYRUP (400G Packing),DATES ING,SFG_reuse_intermediate,DATES SYRUP ( Packing)
cdpl,AL BARAKAH DATES SYRUP 400G,DATES ING,SFG_reuse_intermediate,Date Syrup
cfpl,AL BARAKAH FARD DATES PREMIUM - 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,AL BARAKAH KHALAS DATES 1KG,DATES RPC,NO_SFG_plain_repack,
cfpl,AL BARAKAH KHALAS DATES 500 Gm,DATES RPC,SFG_blend,KHALAS DATES Bulk
cfpl,AL BARAKAH KHALAS DATES SEEDLESS 350GM,DATES RPC,NO_SFG_plain_repack,
cdpl,AL BARAKAH KHALAS SEEDLESS DATES 500 Gm,DATES RPC,NO_SFG_plain_repack,
cdpl,AL BARAKAH MEDJOUL DATES 500gm,DATES RPC,SFG_reuse_intermediate,WET DATES MEDJOUL BULK MEDIUM(5)
cdpl,AL BARAKAH PREMIUM ARABIAN DATES 500G,DATES RPC,NO_SFG_plain_repack,
cfpl,AL BARAKAH PREMIUM SEEDLESS DATES 500G,DATES RPC,NO_SFG_plain_repack,
cfpl,AL BARAKAH SAFAVI DATES 500gm,DATES RPC,NO_SFG_plain_repack,
cdpl,AL Barakah Dates Paste 500gm,DATES ING,SFG_reuse_intermediate,Date Paste
cdpl,AL Barakah Premium Emirates Dates 500g,DATES RPC,NO_SFG_plain_repack,
cfpl,AUSTRALIA MACADAMIA HONEY ROAST 100G PCH,VA,SFG_reuse_intermediate,Honey Roasted Macadamia Nut
cfpl,AUSTRALIA MACADAMIA SWEETCHILLI 100G PCH,VA,SFG_reuse_intermediate,Sweet Chilli Macadamia Nut
cfpl,AUSTRALIA MCADAMIA DARKCHOCOLTE 100G PCH,VA,SFG_reuse_intermediate,Macadamia Dark Chocolate Clusters
cfpl,AUSTRALIA MCDAMIA MILKCHOCOLATE 100G PCH,VA,SFG_reuse_intermediate,Macadamia Milk Chocolate Clusters
cfpl,Abjosh (Munakka) 100gm,RPC,NO_SFG_plain_repack,
cfpl,Afghan Black Raisins Seedless 1*1,Bulk,NO_SFG_rm_stockitem,
cfpl,Afghan Raisins 1*1 Green round,Bulk,NO_SFG_rm_stockitem,
