article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
0M24-Carnival Chana Pouch 250 gm Sample Digital,pm,,,,Y,pm,cfpl,,n/a,,,
10KG AL BARAKAH DATE POWDER V1,rm,,,,Y,rm,cdpl,,n/a,,,
10KG AL BARAKAH DATE POWDER V2,rm,,,,Y,rm,cdpl,,n/a,,,
10KG AL BARKAH SUFRI DATES,rm,,,Y,Y,rm,cfpl,,n/a,,,
25KG AL BARAKAH DATE SYRUP V1,rm,,,,Y,rm,cdpl,,n/a,,,
3 Jar Jute Bag Gift Hamper,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
3pcs date balls with blister,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,Y,
4 PET WOODEN BOX WITH LID HAMPER,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
5 Grain Cereal 35gm,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
5 Grain Cereal 50 GM,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Abjosh (Munakka) 100gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Acacia Gum - Dink/ Gundar,rm,,,Y,Y,rm,cfpl,,n/a,,,
Acrylic 40 Pc Dates Box,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Acrylic Bin Large,pm,,,,Y,pm,cfpl,,n/a,,,
Afghan Apricot 1*1,rm,,,Y,Y,rm,cfpl,,n/a,,,
Afghan Apricot 1*2,rm,,,Y,Y,rm,cfpl,,n/a,,,
Afghan Apricot Selected,rm,,,,Y,rm,cfpl,,n/a,,,
Afghan Black Raisins Seeded 1*2,rm,,,Y,Y,rm,cfpl,,n/a,,,
Afghan Black Raisins Seedless 1*1,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Afghan Black Raisins Seedless 1*2,rm,,,Y,Y,rm,cfpl,,n/a,,,
Afghan Munakka / Abjosh 1X1,rm,,,Y,Y,rm,cfpl,,n/a,,,
Afghan Munakka / Abjosh 1X2,rm,,,Y,Y,rm,cfpl,,n/a,,,
Afghan Raisins 1*1 Green round,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Afghan Raisins 1*2 Green round,rm,,,Y,Y,rm,cfpl,,n/a,,,
Afghan Raisins Black Seeded 1*1,rm,,,,Y,rm,cfpl,,n/a,,,
Afghan Shandukhani Green Raisins,rm,,,Y,Y,rm,cfpl,,n/a,,,
AFREEN DATES,rm,,,,Y,rm,cdpl,,n/a,,,
Ajfan Barbeque Trail Mix Nuts 125g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Ajfan Caramel & Himalayan Salt Trail Mix Nuts 125g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Ajfan Kimia Dates 500 Gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
