article,entity,raw_process_category,cycle_archetype,stage_seq,stage_bucket,stage_label,create_wip_operation,input_code,input_kind,output_code,output_kind
3 Jar Jute Bag Gift Hamper,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
3pcs date balls with blister,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0135,SFG
3pcs date balls with blister,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0135,SFG,FG,FG
4 PET WOODEN BOX WITH LID HAMPER,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
5 Grain Cereal 35gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0001,SFG
5 Grain Cereal 35gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0001,SFG,FG,FG
5 Grain Cereal 50 GM,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0002,SFG
5 Grain Cereal 50 GM,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0002,SFG,FG,FG
AL BARAKAH DATES SYRUP (400G Packing),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH FARD DATES PREMIUM - 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH KHALAS DATES 1KG,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH KHALAS DATES 500 Gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH KHALAS DATES SEEDLESS 350GM,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0005,SFG
AL BARAKAH KHALAS DATES SEEDLESS 350GM,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0005,SFG,FG,FG
AL BARAKAH PREMIUM SEEDLESS DATES 500G,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0006,SFG
AL BARAKAH PREMIUM SEEDLESS DATES 500G,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0006,SFG,FG,FG
AL BARAKAH SAFAVI DATES 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Abjosh (Munakka) 100gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Afghan Black Raisins Seedless 1*1,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Afghan Raisins 1*1 Green round,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Ajwa Dates 400gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Arabian 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Arabian 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Golden 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Oman Seedless 1kg,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0003,SFG
Al Barakah Dates Oman Seedless 1kg,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0003,SFG,FG,FG
Al Barakah Dates Safavi 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Safavi Seedless 400g,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0004,SFG
Al Barakah Dates Safavi Seedless 400g,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0004,SFG,FG,FG
Al Barakah Dehydrated Date Powder 250g,cfpl,Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Emirate Dates 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Fard Dates 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Khalas Dates 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Khanezi Dates 500 GM,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Khenaizi Dates 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Kimia Dates 500 Gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
