sfg_code,sfg_article,sfg_origin,create_wip_operation,base_recipe,in_all_sku,catalog_type,needs_cataloguing_as_sfg,item_type,uom,sale_group,batch_strategy,item_group,suggested_shelf_life_days,consumed_by_fgs_count,consumed_by_fgs_sample,possible_existing_match
SFG0001,5 Grain Cereal · WIP · BlendForm,DERIVED_INLINE,Blend & Form,5 grain cereal,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,5 Grain Cereal 35gm,
SFG0002,5 Grain Cereal · WIP · Roast,DERIVED_INLINE,Roasting,5 grain cereal,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,45,1,5 Grain Cereal 50 GM,
SFG0003,Al Barakah Dates Oman Seedless · WIP · DeSeed,DERIVED_INLINE,De-Seeding,al barakah dates oman seedless,N,,Y,sfg,kg,wip,FIFO,DATES,7,1,Al Barakah Dates Oman Seedless 1kg,
SFG0004,Al Barakah Dates Safavi Seedless · WIP · DeSeed,DERIVED_INLINE,De-Seeding,al barakah dates safavi seedless,N,,Y,sfg,kg,wip,FIFO,DATES,7,1,Al Barakah Dates Safavi Seedless 400g,
SFG0005,AL BARAKAH KHALAS DATES SEEDLESS · WIP · DeSeed,DERIVED_INLINE,De-Seeding,al barakah khalas dates seedless,N,,Y,sfg,kg,wip,FIFO,DATES,7,1,AL BARAKAH KHALAS DATES SEEDLESS 350GM,
SFG0006,AL BARAKAH PREMIUM SEEDLESS DATES · WIP · DeSeed,DERIVED_INLINE,De-Seeding,al barakah premium seedless dates,N,,Y,sfg,kg,wip,FIFO,DATES,7,1,AL BARAKAH PREMIUM SEEDLESS DATES 500G,
SFG0007,Almond Apricot and Seeds Date Balls · WIP · BlendForm,DERIVED_INLINE,Blend & Form,almond apricot and seeds date balls,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Almond Apricot and Seeds Date Balls 48 gms,
SFG0008,"Almond Blanched, whole",EXISTING_BOM_ARTICLE,Blanching,"almond blanched, whole",Y,rm,Y,sfg,kg,wip,FIFO,ALMOND,2,2,"Almond Blanched Sliced; Almond Blanched, whole",
SFG0009,Almond Cranberry Black currant and seeds Date Balls · WIP · BlendForm,DERIVED_INLINE,Blend & Form,almond cranberry black currant and seeds date balls,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Almond Cranberry Black currant and seeds Date Balls 48 gms,
SFG0010,Almond Masala · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,almond masala,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,Almond Masala,
SFG0011,Almond Peri Peri · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,almond peri peri,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,Almond Peri Peri,
SFG0012,Almond Sliced,EXISTING_BOM_ARTICLE,Blanch & Slice,almond sliced,Y,rm,Y,sfg,kg,wip,FIFO,ALMOND,7,1,Almond Sliced,
SFG0013,Almonds Kernel Cube Cut · WIP · BlanchSlice,DERIVED_INLINE,Blanch & Slice,almonds kernel cube cut,N,,Y,sfg,kg,wip,FIFO,ALMOND,7,1,Almonds Kernel Cube Cut,
SFG0014,Amazon Brand - Vedaka Raw Sunflower Seeds · WIP · Roast,DERIVED_INLINE,Roasting,amazon brand - vedaka raw sunflower seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,
SFG0015,Amazon Brand Nuts Berries and Seed Mix · WIP · Roast,DERIVED_INLINE,Roasting,amazon brand nuts berries and seed mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),
SFG0016,Amazon Brand Vedaka Dryfruits and Berries Mix · WIP · Roast,DERIVED_INLINE,Roasting,amazon brand vedaka dryfruits and berries mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),
SFG0017,Amazon Brand Vedaka Dryfruits and Nut Mix · WIP · Roast,DERIVED_INLINE,Roasting,amazon brand vedaka dryfruits and nut mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),
SFG0018,Antioxidant Mix · WIP · Roast,DERIVED_INLINE,Roasting,antioxidant mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,2,Antioxidant Mix 33gm; Antioxidant Mix 35gm,
SFG0019,Barbeque Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,barbeque cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,5,Barbeque Cashew; Barbeque Cashew Bulk; Carnival Barbeque Cashew 100gm; Carnival Barbeque Cashew 200gm; YUMASANA CASHEWS- BARBEQUE 150g,
SFG0020,Barbeque Macadamia · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,barbeque macadamia,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Barbeque Macadamia,
SFG0021,Barbeque Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,barbeque makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Barbeque Makhana,
SFG0022,"BB Royal Dates - Red, Seedless · WIP · DeSeed",DERIVED_INLINE,De-Seeding,"bb royal dates - red, seedless",N,,Y,sfg,kg,wip,FIFO,DATES,7,1,"BB Royal Dates - Red, Seedless 250 g",
SFG0023,Black Pepper Almonds · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,black pepper almonds,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,Black Pepper Almonds,
SFG0024,Black Pepper Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,black pepper cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,7,BLACK PEPPER CASHEW; Black Pepper Cashew Bulk; Cafe Galleries Cashew Black Pepper 250 Gm; Premia Cashew Black Pepper 100 Gm; Royal Traditions Cashew Black Pepper 100g,
SFG0025,Black Pepper Macadamia Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,black pepper macadamia trail mix,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Black Pepper Macadamia Trail Mix,
SFG0026,Black Pepper Nutty Seed Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,black pepper nutty seed mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Black Pepper Nutty Seed Mix 250gm,
