fg_name,cycle_archetype,final_stage_label,input_code,input_sfg_article,input_kind
3 Jar Jute Bag Gift Hamper,D: Pack-only,Sorting + Packing,RM,,RM
3pcs date balls with blister,B: Transform->Pack (in-line),Packing,SFG0135,3pcs date balls with blister · WIP · BlendForm,SFG
4 PET WOODEN BOX WITH LID HAMPER,D: Pack-only,Sorting + Packing,RM,,RM
5 Grain Cereal 35gm,B: Transform->Pack (in-line),Packing,SFG0001,5 Grain Cereal · WIP · BlendForm,SFG
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),Packing,SFG0002,5 Grain Cereal · WIP · Roast,SFG
AL BARAKAH DATES SYRUP (400G Packing),D: Pack-only,Sorting + Packing,RM,,RM
AL BARAKAH FARD DATES PREMIUM - 500g,D: Pack-only,Sorting + Packing,RM,,RM
AL BARAKAH KHALAS DATES 1KG,D: Pack-only,Sorting + Packing,RM,,RM
AL BARAKAH KHALAS DATES 500 Gm,D: Pack-only,Sorting + Packing,RM,,RM
AL BARAKAH KHALAS DATES SEEDLESS 350GM,B: Transform->Pack (in-line),Packing,SFG0005,AL BARAKAH KHALAS DATES SEEDLESS · WIP · DeSeed,SFG
AL BARAKAH PREMIUM SEEDLESS DATES 500G,B: Transform->Pack (in-line),Packing,SFG0006,AL BARAKAH PREMIUM SEEDLESS DATES · WIP · DeSeed,SFG
AL BARAKAH SAFAVI DATES 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Abjosh (Munakka) 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Afghan Black Raisins Seedless 1*1,D: Pack-only,Sorting + Packing,RM,,RM
Afghan Raisins 1*1 Green round,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Ajwa Dates 400gm,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Dates Arabian 400g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Dates Arabian 500g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Dates Golden 500g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Dates Oman Seedless 1kg,B: Transform->Pack (in-line),Packing,SFG0003,Al Barakah Dates Oman Seedless · WIP · DeSeed,SFG
Al Barakah Dates Safavi 400g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Dates Safavi Seedless 400g,B: Transform->Pack (in-line),Packing,SFG0004,Al Barakah Dates Safavi Seedless · WIP · DeSeed,SFG
Al Barakah Dehydrated Date Powder 250g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Emirate Dates 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Fard Dates 400g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Khalas Dates 400g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Khanezi Dates 500 GM,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Khenaizi Dates 400g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Kimia Dates 500 Gm,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Medjoul Dates 500Gm,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Oman Dates 400g,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Oman Dates 500gm Tub,D: Pack-only,Sorting + Packing,RM,,RM
Al Barakah Premium Medjool 800gm,D: Pack-only,Sorting + Packing,RM,,RM
Almond Apricot and Seeds Date Balls 48 gms,B: Transform->Pack (in-line),Packing,SFG0007,Almond Apricot and Seeds Date Balls · WIP · BlendForm,SFG
Almond Blanched Sliced,C: Pack of existing SFG,Packing,SFG0008,"Almond Blanched, whole",SFG
"Almond Blanched, whole",A: WIP producer (bulk),Packing,SFG0008,"Almond Blanched, whole",SFG
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),Packing,SFG0009,Almond Cranberry Black currant and seeds Date Balls · WIP · BlendForm,SFG
Almond Kernal 150gm,D: Pack-only,Sorting + Packing,RM,,RM
Almond Kernal 450gm,D: Pack-only,Sorting + Packing,RM,,RM
Almond Masala,B: Transform->Pack (in-line),Packing,SFG0010,Almond Masala · WIP · RoastFlav,SFG
Almond Peri Peri,B: Transform->Pack (in-line),Packing,SFG0011,Almond Peri Peri · WIP · RoastFlav,SFG
Almond Roasted,D: Pack-only,Sorting + Packing,RM,,RM
Almond Selected 230g,D: Pack-only,Sorting + Packing,RM,,RM
Almond Sliced,A: WIP producer (bulk),Packing,SFG0012,Almond Sliced,SFG
Almonds Kernel Cube Cut,B: Transform->Pack (in-line),Packing,SFG0013,Almonds Kernel Cube Cut · WIP · BlanchSlice,SFG
Amary Dates 250g (1356293),D: Pack-only,Sorting + Packing,RM,,RM
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,Sorting + Packing,RM,,RM
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,B: Transform->Pack (in-line),Packing,SFG0014,Amazon Brand - Vedaka Raw Sunflower Seeds · WIP · Roast,SFG
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),Packing,SFG0015,Amazon Brand Nuts Berries and Seed Mix · WIP · Roast,SFG
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),Packing,SFG0016,Amazon Brand Vedaka Dryfruits and Berries Mix · WIP · Roast,SFG
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),Packing,SFG0017,Amazon Brand Vedaka Dryfruits and Nut Mix · WIP · Roast,SFG
Amazon Brand- Vedaka Dry Dates powder 200g,D: Pack-only,Sorting + Packing,RM,,RM
American Almonds (23-25 Count),D: Pack-only,Sorting + Packing,RM,,RM
American Almonds (24-25 Count),D: Pack-only,Sorting + Packing,RM,,RM
American Almonds Running 25-27 count,D: Pack-only,Sorting + Packing,RM,,RM
American Almonds Tukda,D: Pack-only,Sorting + Packing,RM,,RM
Anjeer (Figs),D: Pack-only,Sorting + Packing,RM,,RM
Anjeer 1*2 75gm,D: Pack-only,Sorting + Packing,RM,,RM
Antioxidant Mix 33gm,B: Transform->Pack (in-line),Packing,SFG0018,Antioxidant Mix · WIP · Roast,SFG
Antioxidant Mix 35gm,B: Transform->Pack (in-line),Packing,SFG0018,Antioxidant Mix · WIP · Roast,SFG
Apricot Kernel,D: Pack-only,Sorting + Packing,RM,,RM
Ar Barakah Fard Dates 1kg,D: Pack-only,Sorting + Packing,RM,,RM
Azmah Dates 500 Gms (110002703),D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Ajwa Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Black Current 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Ajwa 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Deri 500 g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Golden 500 g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Mazafati 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Medjool 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Omani 250g,D: Pack-only,Sorting + Packing,RM,,RM
"BB Royal Dates - Red, Seedless 250 g",B: Transform->Pack (in-line),Packing,SFG0022,"BB Royal Dates - Red, Seedless · WIP · DeSeed",SFG
BB Royal Dates - Safawi 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dates - Zahidi 500 g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Blue Berries 100g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Blue Berries 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Cran Berries 100g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Dried Cran Berry 250g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Mazafati Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Medjool Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Red Dates - With Seeds 500gm,D: Pack-only,Sorting + Packing,RM,,RM
BB Royal Safavi Dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
BBroyal Black Current 100g,D: Pack-only,Sorting + Packing,RM,,RM
BLACK PEPPER CASHEW,C: Pack of existing SFG,Packing,SFG0024,Black Pepper Cashew Bulk,SFG
BLISSFUL CELEBRATION 360gm,D: Pack-only,Sorting + Packing,RM,,RM
Banarasi Box Hamper 03,D: Pack-only,Sorting + Packing,RM,,RM
Barbeque Almonds,D: Pack-only,Sorting + Packing,RM,,RM
Barbeque Cashew,C: Pack of existing SFG,Packing,SFG0019,Barbeque Cashew Bulk,SFG
Barbeque Cashew Bulk,A: WIP producer (bulk),Packing,SFG0019,Barbeque Cashew Bulk,SFG
Barbeque Macadamia,B: Transform->Pack (in-line),Packing,SFG0020,Barbeque Macadamia · WIP · RoastFlav,SFG
Barbeque Makhana,B: Transform->Pack (in-line),Packing,SFG0021,Barbeque Makhana · WIP · RoastFlav,SFG
Bb Royal Omani Dates 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Berry Mix,D: Pack-only,Sorting + Packing,RM,,RM
Black Pepper Almonds,B: Transform->Pack (in-line),Packing,SFG0023,Black Pepper Almonds · WIP · RoastFlav,SFG
Black Pepper Cashew Bulk,A: WIP producer (bulk),Packing,SFG0024,Black Pepper Cashew Bulk,SFG
Black Pepper Macadamia Trail Mix,B: Transform->Pack (in-line),Packing,SFG0025,Black Pepper Macadamia Trail Mix · WIP · RoastFlav,SFG
Black Pepper Nutty Seed Mix 250gm,B: Transform->Pack (in-line),Packing,SFG0026,Black Pepper Nutty Seed Mix · WIP · RoastFlav,SFG
Black Pepper Pecannut,B: Transform->Pack (in-line),Packing,SFG0027,Black Pepper Pecannut · WIP · RoastFlav,SFG
Blackcurrant Date Balls 48 gms,B: Transform->Pack (in-line),Packing,SFG0028,Blackcurrant Date Balls · WIP · BlendForm,SFG
Blueberries 230g,D: Pack-only,Sorting + Packing,RM,,RM
Blueberries 75gm,D: Pack-only,Sorting + Packing,RM,,RM
Booster Berries 33gm,D: Pack-only,Sorting + Packing,RM,,RM
Booster Berries 35gm,D: Pack-only,Sorting + Packing,RM,,RM
Brazil Nuts,D: Pack-only,Sorting + Packing,RM,,RM
Breakfast Mix Bulk,B: Transform->Pack (in-line),Packing,SFG0029,Breakfast Mix Bulk · WIP · RoastFlav,SFG
CA GOA PRE CASHEW 230GM/P,D: Pack-only,Sorting + Packing,RM,,RM
CA INDIAN PREMIUM QUALITY RAISINS 150/P,D: Pack-only,Sorting + Packing,RM,,RM
CA PREMIUM ALMOND CALIFORNIA 218GM/P,D: Pack-only,Sorting + Packing,RM,,RM
CA PREMIUM DRY CANBERRY 230GM/P,D: Pack-only,Sorting + Packing,RM,,RM
CA PREMIUM PINSHROSTSALTIRANIPISTA15 /P,D: Pack-only,Sorting + Packing,RM,,RM
CA WALNUT CHILE (VACUUM PACKING)250GM /P,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Big 520g,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Big 520gm,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Small 360g,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Mayur Ratna Small 360gm,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL RAISIN IDNIAN GREEN/GOLDEN ROUND 1KG,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Royal divine 550g,D: Pack-only,Sorting + Packing,RM,,RM
CARNIVAL Utsav 700g,D: Pack-only,Sorting + Packing,RM,,RM
CCD Energy Bar with Jaggery,B: Transform->Pack (in-line),Packing,SFG0096,CCD Energy Bar with Jaggery · WIP · BlendForm,SFG
CELEBRATING MOMENTS 300gm,D: Pack-only,Sorting + Packing,RM,,RM
CELEBRATION SLEEK BOX 300gm,D: Pack-only,Sorting + Packing,RM,,RM
CELEBRATIONS 550gm,D: Pack-only,Sorting + Packing,RM,,RM
CHATPATA SNACK MIX,B: Transform->Pack (in-line),Packing,SFG0099,CHATPATA SNACK MIX · WIP · RoastFlav,SFG
CLASSIC WOODEN BOX 480gm,D: Pack-only,Sorting + Packing,RM,,RM
CURATE BLUEBERRIES 200G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE DATE BITES ASRTD RO/CA IND 420G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE DATE BITES IND 210G,B: Transform->Pack (in-line),Packing,SFG0122,CURATE DATE BITES IND · WIP · BlendForm,SFG
CURATE DATE BITES ROSE IND 210G,B: Transform->Pack (in-line),Packing,SFG0123,CURATE DATE BITES ROSE IND · WIP · BlendForm,SFG
CURATE DATE BITES ROSE IND 360G,B: Transform->Pack (in-line),Packing,SFG0123,CURATE DATE BITES ROSE IND · WIP · BlendForm,SFG
CURATE MACADEMIA NUTS 200G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE MAMRA ALMOND 500G,D: Pack-only,Sorting + Packing,RM,,RM
CURATE WHOLE CRANBERRIES 200G,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleria Walnut Kernel 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries  Pepper Pista Inshell 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries American Almond 25-27count - 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries American Pista Inshell Regular 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries American Pista Inshell Selected 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Blueberry 250g,D: Pack-only,Sorting + Packing,RM,,RM
Cafe Galleries Brazil Nuts 250g,D: Pack-only,Sorting + Packing,RM,,RM
