sfg_code,particulars,item_type,item_group,uom,sale_group,gst,batch_strategy,create_wip_operation,sfg_origin,already_in_all_sku,needs_cataloguing,possible_existing_match
SFG0001,5 Grain Cereal · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0002,5 Grain Cereal · WIP · Roast,sfg,BARS & CEREALS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0003,Al Barakah Dates Oman Seedless · WIP · DeSeed,sfg,DATES,kg,wip,,FIFO,De-Seeding,DERIVED_INLINE,N,Y,
SFG0004,Al Barakah Dates Safavi Seedless · WIP · DeSeed,sfg,DATES,kg,wip,,FIFO,De-Seeding,DERIVED_INLINE,N,Y,
SFG0005,AL BARAKAH KHALAS DATES SEEDLESS · WIP · DeSeed,sfg,DATES,kg,wip,,FIFO,De-Seeding,DERIVED_INLINE,N,Y,
SFG0006,AL BARAKAH PREMIUM SEEDLESS DATES · WIP · DeSeed,sfg,DATES,kg,wip,,FIFO,De-Seeding,DERIVED_INLINE,N,Y,
SFG0007,Almond Apricot and Seeds Date Balls · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0008,"Almond Blanched, whole",sfg,ALMOND,kg,wip,,FIFO,Blanching,EXISTING_BOM_ARTICLE,Y,Y,
SFG0009,Almond Cranberry Black currant and seeds Date Balls · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0010,Almond Masala · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0011,Almond Peri Peri · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0012,Almond Sliced,sfg,ALMOND,kg,wip,,FIFO,Blanch & Slice,EXISTING_BOM_ARTICLE,Y,Y,
SFG0013,Almonds Kernel Cube Cut · WIP · BlanchSlice,sfg,ALMOND,kg,wip,,FIFO,Blanch & Slice,DERIVED_INLINE,N,Y,
SFG0014,Amazon Brand - Vedaka Raw Sunflower Seeds · WIP · Roast,sfg,SEEDS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0015,Amazon Brand Nuts Berries and Seed Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0016,Amazon Brand Vedaka Dryfruits and Berries Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0017,Amazon Brand Vedaka Dryfruits and Nut Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0018,Antioxidant Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0019,Barbeque Cashew Bulk,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,Y,Y,
SFG0020,Barbeque Macadamia · WIP · RoastFlav,sfg,PREMIUM NUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0021,Barbeque Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0022,"BB Royal Dates - Red, Seedless · WIP · DeSeed",sfg,DATES,kg,wip,,FIFO,De-Seeding,DERIVED_INLINE,N,Y,
SFG0023,Black Pepper Almonds · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0024,Black Pepper Cashew Bulk,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,Y,Y,
SFG0025,Black Pepper Macadamia Trail Mix · WIP · RoastFlav,sfg,PREMIUM NUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0026,Black Pepper Nutty Seed Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0027,Black Pepper Pecannut · WIP · RoastFlav,sfg,PREMIUM NUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0028,Blackcurrant Date Balls · WIP · BlendForm,sfg,TRAIL MIX,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0029,Breakfast Mix Bulk · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,Premia Breakfast Mix Bulk
SFG0030,Cafe Galleries Healthy Mewa Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0031,Cafe Galleries Macadamia Nut Salted · WIP · Roast,sfg,PREMIUM NUTS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0032,Cafe Galleries Premium Cocktail Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0033,Cafe Galleries Pumpkin Seeds · WIP · Roast,sfg,SEEDS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0034,Cafe Galleries Salted Pumpkin Seeds · WIP · RoastFlav,sfg,SEEDS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0035,Cafe Galleries Seeds Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0036,Cafe Galleries Sunflower Seeds -  · WIP · Roast,sfg,SEEDS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0037,California Pista Inshell Black Pepper · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0038,California Pista Inshell Pink Salted · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0039,California Pista Inshell Roasted and Salted · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0040,Caramel Pecannut · WIP · RoastFlav,sfg,PREMIUM NUTS,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0041,Carnial Almond Dragees · WIP · Roast+Enrobe,sfg,ALMOND,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
