fg_sample,base_recipe,create_wip_operation,sfg_origin,sfg_code,sfg_article,num_fgs
5 Grain Cereal 35gm,5 Grain Cereal,Blend & Form,DERIVED_INLINE,SFG0001,5 Grain Cereal · WIP · BlendForm,1
5 Grain Cereal 50 GM,5 Grain Cereal,Roasting,DERIVED_INLINE,SFG0002,5 Grain Cereal · WIP · Roast,1
Al Barakah Dates Oman Seedless 1kg,Al Barakah Dates Oman Seedless,De-Seeding,DERIVED_INLINE,SFG0003,Al Barakah Dates Oman Seedless · WIP · DeSeed,1
Al Barakah Dates Safavi Seedless 400g,Al Barakah Dates Safavi Seedless,De-Seeding,DERIVED_INLINE,SFG0004,Al Barakah Dates Safavi Seedless · WIP · DeSeed,1
AL BARAKAH KHALAS DATES SEEDLESS 350GM,AL BARAKAH KHALAS DATES SEEDLESS,De-Seeding,DERIVED_INLINE,SFG0005,AL BARAKAH KHALAS DATES SEEDLESS · WIP · DeSeed,1
AL BARAKAH PREMIUM SEEDLESS DATES 500G,AL BARAKAH PREMIUM SEEDLESS DATES,De-Seeding,DERIVED_INLINE,SFG0006,AL BARAKAH PREMIUM SEEDLESS DATES · WIP · DeSeed,1
Almond Apricot and Seeds Date Balls 48 gms,Almond Apricot and Seeds Date Balls,Blend & Form,DERIVED_INLINE,SFG0007,Almond Apricot and Seeds Date Balls · WIP · BlendForm,1
"Almond Blanched, whole","Almond Blanched, whole",Blanching,EXISTING_BOM_ARTICLE,SFG0008,"Almond Blanched, whole",1
Almond Cranberry Black currant and seeds Date Balls 48 gms,Almond Cranberry Black currant and seeds Date Balls,Blend & Form,DERIVED_INLINE,SFG0009,Almond Cranberry Black currant and seeds Date Balls · WIP · BlendForm,1
Almond Masala,Almond Masala,Roast & Flavour/Salt,DERIVED_INLINE,SFG0010,Almond Masala · WIP · RoastFlav,1
Almond Peri Peri,Almond Peri Peri,Roast & Flavour/Salt,DERIVED_INLINE,SFG0011,Almond Peri Peri · WIP · RoastFlav,1
Almond Sliced,Almond Sliced,Blanch & Slice,EXISTING_BOM_ARTICLE,SFG0012,Almond Sliced,1
Almonds Kernel Cube Cut,Almonds Kernel Cube Cut,Blanch & Slice,DERIVED_INLINE,SFG0013,Almonds Kernel Cube Cut · WIP · BlanchSlice,1
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,Amazon Brand - Vedaka Raw Sunflower Seeds,Roasting,DERIVED_INLINE,SFG0014,Amazon Brand - Vedaka Raw Sunflower Seeds · WIP · Roast,1
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),Amazon Brand Nuts Berries and Seed Mix,Roasting,DERIVED_INLINE,SFG0015,Amazon Brand Nuts Berries and Seed Mix · WIP · Roast,1
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),Amazon Brand Vedaka Dryfruits and Berries Mix,Roasting,DERIVED_INLINE,SFG0016,Amazon Brand Vedaka Dryfruits and Berries Mix · WIP · Roast,1
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),Amazon Brand Vedaka Dryfruits and Nut Mix,Roasting,DERIVED_INLINE,SFG0017,Amazon Brand Vedaka Dryfruits and Nut Mix · WIP · Roast,1
Antioxidant Mix 33gm / Antioxidant Mix 35gm,Antioxidant Mix,Roasting,DERIVED_INLINE,SFG0018,Antioxidant Mix · WIP · Roast,2
Barbeque Cashew / Barbeque Cashew Bulk,Barbeque Cashew,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0019,Barbeque Cashew Bulk,2
Barbeque Macadamia,Barbeque Macadamia,Roast & Flavour/Salt,DERIVED_INLINE,SFG0020,Barbeque Macadamia · WIP · RoastFlav,1
Barbeque Makhana,Barbeque Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0021,Barbeque Makhana · WIP · RoastFlav,1
"BB Royal Dates - Red, Seedless 250 g","BB Royal Dates - Red, Seedless",De-Seeding,DERIVED_INLINE,SFG0022,"BB Royal Dates - Red, Seedless · WIP · DeSeed",1
Black Pepper Almonds,Black Pepper Almonds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0023,Black Pepper Almonds · WIP · RoastFlav,1
BLACK PEPPER CASHEW / Black Pepper Cashew Bulk,BLACK PEPPER CASHEW,Roast & Flavour/Salt,EXISTING_BOM_ARTICLE,SFG0024,Black Pepper Cashew Bulk,2
Black Pepper Macadamia Trail Mix,Black Pepper Macadamia Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0025,Black Pepper Macadamia Trail Mix · WIP · RoastFlav,1
Black Pepper Nutty Seed Mix 250gm,Black Pepper Nutty Seed Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0026,Black Pepper Nutty Seed Mix · WIP · RoastFlav,1
Black Pepper Pecannut,Black Pepper Pecannut,Roast & Flavour/Salt,DERIVED_INLINE,SFG0027,Black Pepper Pecannut · WIP · RoastFlav,1
Blackcurrant Date Balls 48 gms,Blackcurrant Date Balls,Blend & Form,DERIVED_INLINE,SFG0028,Blackcurrant Date Balls · WIP · BlendForm,1
Breakfast Mix Bulk,Breakfast Mix Bulk,Roast & Flavour/Salt,DERIVED_INLINE,SFG0029,Breakfast Mix Bulk · WIP · RoastFlav,1
Cafe Galleries Healthy Mewa Mix 250g,Cafe Galleries Healthy Mewa Mix,Roasting,DERIVED_INLINE,SFG0030,Cafe Galleries Healthy Mewa Mix · WIP · Roast,1
Cafe Galleries Macadamia Nut Salted 250g,Cafe Galleries Macadamia Nut Salted,Roasting,DERIVED_INLINE,SFG0031,Cafe Galleries Macadamia Nut Salted · WIP · Roast,1
Cafe Galleries Premium Cocktail Mix 250g,Cafe Galleries Premium Cocktail Mix,Roasting,DERIVED_INLINE,SFG0032,Cafe Galleries Premium Cocktail Mix · WIP · Roast,1
Cafe Galleries Pumpkin Seeds 250g,Cafe Galleries Pumpkin Seeds,Roasting,DERIVED_INLINE,SFG0033,Cafe Galleries Pumpkin Seeds · WIP · Roast,1
Cafe Galleries Salted Pumpkin Seeds 250g,Cafe Galleries Salted Pumpkin Seeds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0034,Cafe Galleries Salted Pumpkin Seeds · WIP · RoastFlav,1
"Cafe Galleries Seeds Mix, 250g",Cafe Galleries Seeds Mix,Roasting,DERIVED_INLINE,SFG0035,Cafe Galleries Seeds Mix · WIP · Roast,1
Cafe Galleries Sunflower Seeds - 250gm,Cafe Galleries Sunflower Seeds - ,Roasting,DERIVED_INLINE,SFG0036,Cafe Galleries Sunflower Seeds -  · WIP · Roast,1
California Pista Inshell Black Pepper,California Pista Inshell Black Pepper,Roast & Flavour/Salt,DERIVED_INLINE,SFG0037,California Pista Inshell Black Pepper · WIP · RoastFlav,1
California Pista Inshell Pink Salted,California Pista Inshell Pink Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0038,California Pista Inshell Pink Salted · WIP · RoastFlav,1
California Pista Inshell Roasted and Salted,California Pista Inshell Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0039,California Pista Inshell Roasted and Salted · WIP · RoastFlav,1
Caramel Pecannut,Caramel Pecannut,Roast & Flavour/Salt,DERIVED_INLINE,SFG0040,Caramel Pecannut · WIP · RoastFlav,1
Carnial Almond Dragees 100gm,Carnial Almond Dragees,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0041,Carnial Almond Dragees · WIP · Roast+Enrobe,1
Carnival Almond Choco Bite (Dark Chocolate) 100g / Carnival Almond Choco Bite (Milk Chocolate) 100g / Carnival Almond Choco Bite (White Chocolate) 100g,Carnival Almond Choco Bite,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0042,Carnival Almond Choco Bite · WIP · Roast+Enrobe,3
Carnival Almond Smoked Paprika 200g,Carnival Almond Smoked Paprika,Roast & Flavour/Salt,DERIVED_INLINE,SFG0043,Carnival Almond Smoked Paprika · WIP · RoastFlav,1
Carnival Barbeque Makhana 125 Gm / Carnival Barbeque Makhana 55g,Carnival Barbeque Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0044,Carnival Barbeque Makhana · WIP · RoastFlav,2
Carnival Berry Barbeque Trail Mix 200g,Carnival Berry Barbeque Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0045,Carnival Berry Barbeque Trail Mix · WIP · RoastFlav,1
Carnival Black Pepper Makhana 125 Gm / Carnival Black Pepper Makhana 55g,Carnival Black Pepper Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0046,Carnival Black Pepper Makhana · WIP · RoastFlav,2
Carnival California Pista Roasted and Salted 800g,Carnival California Pista Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0047,Carnival California Pista Roasted and Salted · WIP · RoastFlav,1
Carnival Caramel Sesame Walnut 150g / Carnival Caramel Sesame Walnut 70g,Carnival Caramel Sesame Walnut,Roast & Flavour/Salt,DERIVED_INLINE,SFG0048,Carnival Caramel Sesame Walnut · WIP · RoastFlav,2
Carnival Chatpata Black Raisins 100g,Carnival Chatpata Black Raisins,Roast & Flavour/Salt,DERIVED_INLINE,SFG0049,Carnival Chatpata Black Raisins · WIP · RoastFlav,1
Carnival Cheese Cashew 100g / Carnival Cheese Cashew 230g,Carnival Cheese Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0050,Carnival Cheese Cashew · WIP · RoastFlav,2
Carnival Cheese Makhana 125g / Carnival Cheese Makhana 55g,Carnival Cheese Makhana,Roast & Flavour/Salt,DERIVED_INLINE,SFG0051,Carnival Cheese Makhana · WIP · RoastFlav,2
Carnival Choco Orange Walnut 150gm,Carnival Choco Orange Walnut,Roast & Flavour/Salt,DERIVED_INLINE,SFG0052,Carnival Choco Orange Walnut · WIP · RoastFlav,1
Carnival Classic Date Bites 357gm,Carnival Classic Date Bites,Blend & Form,DERIVED_INLINE,SFG0053,Carnival Classic Date Bites · WIP · BlendForm,1
Carnival Classic Pumpkin Seeds 100g,Carnival Classic Pumpkin Seeds,Roasting,DERIVED_INLINE,SFG0054,Carnival Classic Pumpkin Seeds · WIP · Roast,1
Carnival Classic Sunflower Seeds 100G,Carnival Classic Sunflower Seeds,Roasting,DERIVED_INLINE,SFG0055,Carnival Classic Sunflower Seeds · WIP · Roast,1
Carnival Cocktail Mix 100g / Carnival Cocktail Mix 200g / Carnival Cocktail Mix 250g,Carnival Cocktail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0056,Carnival Cocktail Mix · WIP · RoastFlav,3
Carnival Cocktail Mix Plain Pouch 100g,Carnival Cocktail Mix Plain,Roast & Flavour/Salt,DERIVED_INLINE,SFG0057,Carnival Cocktail Mix Plain · WIP · RoastFlav,1
Carnival Crunchy Caramel Trail Mix 100g / Carnival Crunchy Caramel Trail Mix 200g / Carnival Crunchy Caramel Trail Mix 250g,Carnival Crunchy Caramel Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0058,Carnival Crunchy Caramel Trail Mix · WIP · RoastFlav,3
Carnival Festive Black Raisin Seedless 150gm,Carnival Festive Black Raisin Seedless,De-Seeding,DERIVED_INLINE,SFG0059,Carnival Festive Black Raisin Seedless · WIP · DeSeed,1
Carnival Festive California Pista (21-26) 100gm / Carnival Festive California Pista (21-26) 80gm,Carnival Festive California Pista,Roast & Flavour/Salt,DERIVED_INLINE,SFG0060,Carnival Festive California Pista · WIP · RoastFlav,2
Carnival Festive Chatpata Cranberry 80gm,Carnival Festive Chatpata Cranberry,Roast & Flavour/Salt,DERIVED_INLINE,SFG0061,Carnival Festive Chatpata Cranberry · WIP · RoastFlav,1
Carnival Festive Crunchy Caramel Trail Mix 250g,Carnival Festive Crunchy Caramel Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0062,Carnival Festive Crunchy Caramel Trail Mix · WIP · RoastFlav,1
Carnival Festive Nuts & Seeds Mix 120g,Carnival Festive Nuts & Seeds Mix,Roasting,DERIVED_INLINE,SFG0063,Carnival Festive Nuts & Seeds Mix · WIP · Roast,1
Carnival Festive Paan Cranberry 125gm,Carnival Festive Paan Cranberry,Roast & Flavour/Salt,DERIVED_INLINE,SFG0064,Carnival Festive Paan Cranberry · WIP · RoastFlav,1
Carnival Festive Paan Raisin 125gm,Carnival Festive Paan Raisin,Roast & Flavour/Salt,DERIVED_INLINE,SFG0065,Carnival Festive Paan Raisin · WIP · RoastFlav,1
Carnival Festive Salted Almonds (27-28 count) 100gm / Carnival Festive Salted Almonds (27-28 count) 150gm / Carnival Festive Salted Almonds (27-28 Count) 230gm,Carnival Festive Salted Almonds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0066,Carnival Festive Salted Almonds · WIP · RoastFlav,3
Carnival Festive Salted Cashew (320) 230gm,Carnival Festive Salted Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0067,Carnival Festive Salted Cashew · WIP · RoastFlav,1
Carnival Festive Seedless Black Raisin 200gm,Carnival Festive Seedless Black Raisin,De-Seeding,DERIVED_INLINE,SFG0068,Carnival Festive Seedless Black Raisin · WIP · DeSeed,1
Carnival FestiveSalted Cashew (320) 100gm,Carnival FestiveSalted Cashew,Roast & Flavour/Salt,DERIVED_INLINE,SFG0069,Carnival FestiveSalted Cashew · WIP · RoastFlav,1
Carnival Flax Seeds 100G,Carnival Flax Seeds,Roasting,DERIVED_INLINE,SFG0070,Carnival Flax Seeds · WIP · Roast,1
Carnival Ganpati Date Mewa Box 242g,Carnival Ganpati Date Mewa,Blend & Form,DERIVED_INLINE,SFG0071,Carnival Ganpati Date Mewa · WIP · BlendForm,1
Carnival Himalayan Salt & Pepper Pistachios 25g,Carnival Himalayan Salt & Pepper Pistachios,Roast & Flavour/Salt,DERIVED_INLINE,SFG0072,Carnival Himalayan Salt & Pepper Pistachios · WIP · RoastFlav,1
Carnival Honey Roasted Almonds 100G,Carnival Honey Roasted Almonds,Roast & Flavour/Salt,DERIVED_INLINE,SFG0073,Carnival Honey Roasted Almonds · WIP · RoastFlav,1
