module,module_label,section,table,num_columns,column,key,fk_reference
production,Jobcard · Production,Planning,production_plan,15,plan_id,PK,
production,Jobcard · Production,Planning,production_plan,15,plan_name,,
production,Jobcard · Production,Planning,production_plan,15,entity,,
production,Jobcard · Production,Planning,production_plan,15,plan_type,,
production,Jobcard · Production,Planning,production_plan,15,plan_date,,
production,Jobcard · Production,Planning,production_plan,15,date_from,,
production,Jobcard · Production,Planning,production_plan,15,date_to,,
production,Jobcard · Production,Planning,production_plan,15,status,,
production,Jobcard · Production,Planning,production_plan,15,ai_generated,,
production,Jobcard · Production,Planning,production_plan,15,ai_analysis_json,,
production,Jobcard · Production,Planning,production_plan,15,revision_number,,
production,Jobcard · Production,Planning,production_plan,15,previous_plan_id,FK,production_plan.plan_id
production,Jobcard · Production,Planning,production_plan,15,approved_by,,
production,Jobcard · Production,Planning,production_plan,15,approved_at,,
production,Jobcard · Production,Planning,production_plan,15,created_at,,
production,Jobcard · Production,Planning,production_plan_line,17,plan_line_id,PK,
production,Jobcard · Production,Planning,production_plan_line,17,plan_id,FK,production_plan.plan_id
production,Jobcard · Production,Planning,production_plan_line,17,fg_sku_name,,
production,Jobcard · Production,Planning,production_plan_line,17,customer_name,,
production,Jobcard · Production,Planning,production_plan_line,17,bom_id,FK,bom_header.bom_id
production,Jobcard · Production,Planning,production_plan_line,17,planned_qty_kg,,
production,Jobcard · Production,Planning,production_plan_line,17,planned_qty_units,,
production,Jobcard · Production,Planning,production_plan_line,17,machine_id,FK,machine.machine_id
production,Jobcard · Production,Planning,production_plan_line,17,priority,,
production,Jobcard · Production,Planning,production_plan_line,17,shift,,
production,Jobcard · Production,Planning,production_plan_line,17,stage_sequence,,
production,Jobcard · Production,Planning,production_plan_line,17,estimated_hours,,
production,Jobcard · Production,Planning,production_plan_line,17,linked_so_fulfillment_ids,,
production,Jobcard · Production,Planning,production_plan_line,17,reasoning,,
production,Jobcard · Production,Planning,production_plan_line,17,status,,
production,Jobcard · Production,Planning,production_plan_line,17,created_at,,
production,Jobcard · Production,Planning,production_plan_line,17,floor,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,plan_line_id,PK,
production,Jobcard · Production,Planning,production_plan_line_v2,18,plan_id,FK,production_plan_v2.plan_id
production,Jobcard · Production,Planning,production_plan_line_v2,18,fg_sku_name,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,customer_name,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,bom_id,FK,bom_header.bom_id
production,Jobcard · Production,Planning,production_plan_line_v2,18,planned_qty_kg,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,planned_qty_units,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,area,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,priority,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,shift,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,stage_sequence,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,estimated_hours,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,linked_so_fulfillment_ids,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,status,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,created_at,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,deadline_date,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,kg_was_overridden,,
production,Jobcard · Production,Planning,production_plan_line_v2,18,override_reason,,
production,Jobcard · Production,Planning,production_plan_step_v2,11,step_id,PK,
production,Jobcard · Production,Planning,production_plan_step_v2,11,plan_line_id,FK,production_plan_line_v2.plan_line_id
production,Jobcard · Production,Planning,production_plan_step_v2,11,step_order,,
production,Jobcard · Production,Planning,production_plan_step_v2,11,process_name,,
production,Jobcard · Production,Planning,production_plan_step_v2,11,stage,,
production,Jobcard · Production,Planning,production_plan_step_v2,11,floor,,
