doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/781,12-May-26,CFPL,W-202,Ajfan International Retails LLP (Trichy),MEDJOUL DATES JUMBO,1500.0000,08041020,1875000.00,120526.zip,120526\Ajfan [CFPL] {781} (12th May).pdf,1
INV,CND/26-27/792,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Independence Almonds,1650.0000,08021200,1154884.50,120526.zip,120526\ALIGN [CFPL] {792} (12th May) [Not Final].pdf,1
CN,CF/CN/26-27/65,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,10.0600,20081930,11503.11,120526.zip,120526\ALIGN [CFPL] {CN65} (12th May).pdf,1
CN,CF/CN/26-27/66,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,4.1400,20081930,4733.88,120526.zip,120526\ALIGN [CFPL] {CN66} (12th May).pdf,1
CN,CF/CN/26-27/67,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,6.7000,20081930,7163.64,120526.zip,120526\ALIGN [CFPL] {CN67} (12th May).pdf,1
CN,CF/CN/26-27/68,12-May-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,1.9300,20081930,2063.56,120526.zip,120526\ALIGN [CFPL] {CN68} (12th May).pdf,1
INV,CDPL/26-27/71,12-May-26,CDPL,W-202,AVANICCA ROOTS PRIVATE LIMITED,KG AL BARAKAH DATE,100.0000,20079990,26000.00,120526.zip,120526\AVANICCA ROOTS [CDPL] {71} (12th May).pdf,1
CN,CD/CN/26-27/18,12-May-26,CDPL,W-202,Functional and Innovative Foods Limited,Al Barakah Date Powder,300.0000,11063090,109500.00,120526.zip,120526\Functional [CDPL] {CN52} (12th May).pdf,1
INV,CND/26-27/791,12-May-26,CFPL,W-202,M/S GREENDOT HEALTH FOODS PRIVATE LIMITED,Greendot Coated Peanuts,500.0000,20081930,87000.00,120526.zip,120526\Greendot [CFPL] {791} (12th May) [Not Final].pdf,1
INV,CND/26-27/787,12-May-26,CFPL,W-202,Handful of Health Private Limited,Daily Mewa Healthy Mix,500.0000,20089700,310000.00,120526.zip,120526\HOH [CFPL] {PO00146} [787] (12th May).pdf,1
INV,SR/CF/26-27/62,12-May-26,CFPL,W-202,Jagdish Trading Co (Labour),Processing & Packaging 1.S.P. Almonds - 23 Boxes - 227.690kgs (227.690 Kgs @ Rs.16 Per Kg) 10kgs X 22 Boxes 07.690kgs X 01 Box Rej.: 1.167 P/L: 6.143kgs 2.Pista Kernal AB - P - 05 Boxes - 47.409kgs (47.409 Kgs @ Rs.16 Per Kg) 10kgs X 04 Boxes 07.409kgs X 01 Box Dust: 180gm P/L: 411grm Send To APMC [12.05.2026],0.0000,998816,4401.58,120526.zip,120526\JTC [CFPL] {62} [Service Bill] (12th May).pdf,1
INV,CND/26-27/790,12-May-26,CFPL,W-202,Mie Foods India Private Limited,Dark Chocolate Coated Almond Stuffed Khalas Single,875.0000,18069010,273875.00,120526.zip,120526\Mie Foods [CFPL] {790} (12th May) [Not Final].pdf,1
CN,CF/CN/26-27/69,12-May-26,CFPL,W-202,Mie Foods India Private Limited,AL BARAKAH,500.0000,11063090,180000.00,120526.zip,120526\Mie Foods [CFPL] {CN69} (12th May).pdf,1
INV,CND/26-27/785,12-May-26,CFPL,OTHER,PRASHANT CORNER PRIVATE LIMITED,Roasted & Salted,100.0000,20081930,98000.00,120526.zip,120526\Prashant Corner [CFPL] {785} (12th May).pdf,1
INV,CND/26-27/793,12-May-26,CFPL,W-202,Rajguru’s Delight Nuts Foods Pvt. Ltd.,Wet Dates Seedless,1000.0000,08041020,160000.00,120526.zip,120526\Rajguru [CFPL] {793} (12th May).pdf,1
INV,CND/26-27/793,12-May-26,CFPL,W-202,Rajguru’s Delight Nuts Foods Pvt. Ltd.,Wet Dates Zahidi,346.0000,08041020,58820.00,120526.zip,120526\Rajguru [CFPL] {793} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE FARD DATES,1755.0000,08041020,464759.10,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE FLAX SEED 100G,12.0000,20081920,2166.00,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE PUMPKIN SEED 100G,27.0000,20081920,12978.90,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE CHIA SEED 100G,33.0000,12079990,9952.80,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/786,12-May-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE SUNFLOWER SEED 100G,27.0000,20081920,5926.50,120526.zip,120526\RCPL [CFPL] {786} (12th May).pdf,1
INV,CND/26-27/782,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,32.0000,08131000,37190.40,120526.zip,120526\RRL [CFPL] {782} (12th May).pdf,1
INV,CND/26-27/782,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,360.0000,08041020,61020.00,120526.zip,120526\RRL [CFPL] {782} (12th May).pdf,1
INV,CND/26-27/782,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL SLICED CRANBERRIES 100G,56.0000,20089300,28761.60,120526.zip,120526\RRL [CFPL] {782} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL TURKEY APRICOTS 200G,24.0000,08131000,27892.80,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL CALIFORNIA PRUNES 200G,16.0000,08132000,10230.40,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL CLASSIC DATES 500G,352.0000,08041020,59664.00,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/783,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED(KHURDHA),PL SLICED CRANBERRIES 100G,8.0000,20089300,4108.80,120526.zip,120526\RRL [CFPL] {783} (12th May).pdf,1
INV,CND/26-27/784,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,24.0000,08131000,27892.80,120526.zip,120526\RRL [CFPL] {784} (12th May).pdf,1
INV,CND/26-27/784,12-May-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,336.0000,08041020,56952.00,120526.zip,120526\RRL [CFPL] {784} (12th May).pdf,1
