
WINDOW: 2026-04-01 → 2026-05-12  (CFPL+CDPL consolidated; all qty in KG)
================================================================================================
GROUP                       Opening      +Inward     +CN-RM      -Out-RM      = CLOSING
------------------------------------------------------------------------------------------------
_UNMAPPED                         0           39          0            0             39
almond                        7,954       52,070        101       56,469          3,656
anjeer                          122        4,161          0        2,218          2,066
apricot                         489        3,130          0        1,682          1,937
bars & cereals                  626            0          0          185            441
blackberry                        0           10          0            2              8
blackcurrant                    397            0          0           89            308
blueberry                     1,395        3,701         27        4,099          1,025
cashew                       17,321       20,343         34       30,785          6,913
cranberry                    43,364       19,506         85       12,287         50,668
dates                       642,726      101,900        370      338,703        406,294
dehydrated fruits               584          290          0          297            577
makhana                          12            0          0            6              6
miscellaneous - rm            6,356        5,703         81       28,395        -16,256
packaging                         0       34,086          0            0         34,086
peanuts                       3,696        3,234          0       11,399         -4,469
pista                        66,079       64,432         35       56,494         74,052
premium nuts                 10,781           73          0        1,536          9,318
prunes                        3,369       10,776        375        6,289          8,231
raisin                       23,880       40,678        106       15,263         49,402
salt                            940        1,555          0           97          2,398
seasoning                     2,263          600          0        3,783           -920
seeds                       112,752      315,650      5,716      262,380        171,738
spices                            9           11          0          850           -830
tajir                           614          450          0       21,390        -20,327
trail mix                     1,028            0        350       25,798        -24,420
walnut                        1,136           45          0        4,369         -3,188
------------------------------------------------------------------------------------------------
TOTAL                       947,895      682,445      7,280      884,868        752,752

Sale-line classification: {'direct_rm': 301, 'fg_bom': 2987, 'fg_no_bom': 49, 'inferred': 0, 'unknown': 0}
