cn_no,date,buyer,entity,product,qty_kg,hsn,amount,source_zip,source_pdf
CF/CN/26-27/74,14-May-26,ALIGN RETAIL TRADES PVT LTD,CFPL,California Pista Inshell Roasted and Salted,6.42,20081930,6864.26,140526.zip,140526/ALIGN {CN74}.pdf
CF/CN/26-27/72,14-May-26,Avenue Supermarts Limited (Jaipur),CFPL,Premia Cashew Black Pepper 100 Gm,2.4,20081910,2378.16,140526.zip,140526/D-Mart {CN72}.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Roasted Sunflower Seeds 100 g,200.0,20081920,43975.8,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Roasted Pumpkin Seeds 100 g,200.0,20081920,93951.0,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Roasted Watermelon Seeds 100 g,200.0,20081920,133650.0,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Chia Seeds 100 g,250.0,20081930,67369.5,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Roasted Sunflower Seeds 200 g,300.0,20081920,62563.05,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Roasted Pumpkin Seeds 200 g,300.0,20081920,137540.7,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Roasted Watermelon Seeds 200 g,300.0,20081920,197089.2,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice Chia Seeds 200 g,200.0,20081930,51638.4,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/811,13-May-26,Avenue Supermarts Limited (9841),CFPL,Healthy Choice 5 in 1 Seeds Mix 200gm,200.0,20081990,69082.2,140526.zip,140526/Old Invoices/Dmart_CND_26-27_811.pdf
CND/26-27/812,13-May-26,Avenue Supermarts Limited (9841),CFPL,Dried Cranberry 100gm,72.0,20089300,44856.5,140526.zip,140526/Old Invoices/Dmart_CND_26-27_812.pdf
CND/26-27/812,13-May-26,Avenue Supermarts Limited (9841),CFPL,Dried Blueberry 100gm,24.0,20060000,35309.74,140526.zip,140526/Old Invoices/Dmart_CND_26-27_812.pdf
CND/26-27/813,13-May-26,Avenue Supermarts Limited (9841),CFPL,Premia Breakfast Mix 100g (100005226),50.0,20081990,35001.45,140526.zip,140526/Old Invoices/Dmart_CND_26-27_813.pdf
CND/26-27/813,13-May-26,Avenue Supermarts Limited (9841),CFPL,Premia Nuts & Seeds Mix 100g (100005422),50.0,20081990,29883.15,140526.zip,140526/Old Invoices/Dmart_CND_26-27_813.pdf
CND/26-27/813,13-May-26,Avenue Supermarts Limited (9841),CFPL,Premia Trail Mix 100g ( 100005227),50.0,20081990,44896.5,140526.zip,140526/Old Invoices/Dmart_CND_26-27_813.pdf
CND/26-27/813,13-May-26,Avenue Supermarts Limited (9841),CFPL,Premia Prunes 100gm,100.0,08132000,64963.8,140526.zip,140526/Old Invoices/Dmart_CND_26-27_813.pdf
CF/CN/26-27/73,14-May-26,RELIANCE RETAIL LIMITED,CFPL,PL CLASSIC DATES 500G,8.0,08041020,1070.08,140526.zip,140526/RRL {CN73}.pdf
