unit,group,closing_kg,source_column,doc_no,date,article_or_item,rm_or_route,kg,extra
W-202,dates,-121935.8,OUTWARD,CND/25-26/10782,2026-04-03,AL BARAKAH,,15000.0,PDF:26-27\01.APRIL 26\030426\O
W-202,dates,-121935.8,OUTWARD,CND/26-27/274,2026-04-14,GOOD LIFE ARABIAN DATES 500 g,,8895.0,
W-202,dates,-121935.8,OUTWARD,CND/25-26/10782,2026-04-03,AL Barakah Date Paste,,8000.0,PDF:26-27\01.APRIL 26\030426\O
W-202,dates,-121935.8,OUTWARD,CDPL/26-27/40,2026-04-27,AL Barakah Date Paste,,6250.0,
W-202,dates,-121935.8,OUTWARD,CDPL/26-27/27,2026-04-17,AL Barakah Date Paste,,6000.0,
W-202,dates,-121935.8,OUTWARD,CDPL/26-27/74,2026-05-14,AL BARAKAH FARD,,6000.0,PDF:140526\Tajir [CDPL] {74} (
W-202,dates,-121935.8,OUTWARD,CND/26-27/13,2026-04-02,AL BARAKAH FARD DATES PREMIUM - 10KG,,5000.0,
W-202,dates,-121935.8,OUTWARD,CND/26-27/145,2026-04-09,AL BARAKAH FARD DATES PREMIUM - 10KG,,5000.0,
W-202,dates,-121935.8,OUTWARD,CDPL/26-27/26,2026-04-17,AL Barakah Date Paste,,5000.0,
W-202,dates,-121935.8,OUTWARD,CND/26-27/405,2026-04-21,AL BARAKAH FARD DATES PREMIUM - 10KG,,5000.0,
W-202,dates,-121935.8,OUTWARD,CND/26-27/522,2026-04-27,GI- Eatrite Arabian Dates 500gm,,5000.0,
W-202,dates,-121935.8,OUTWARD,CND/26-27/523,2026-04-27,GI- Eatrite Fard Dates 500gm,,5000.0,
W-202,dates,-121935.8,OUTWARD,CDPL/26-27/43,2026-04-27,AL Barakah Date Paste,,5000.0,
W-202,dates,-121935.8,OUTWARD,CDPL/26-27/44,2026-04-27,AL BARAKAH DATE PASTE 12.5KG,,5000.0,
W-202,dates,-121935.8,OUTWARD,CDPL/26-27/55,2026-05-02,Al Barakah Date Powder 5%,,5000.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/274,2026-04-14,GOOD LIFE ARABIAN DATES 500 g,Sayer Dates,9108.5,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/522,2026-04-27,GI- Eatrite Arabian Dates 500gm,Sufri Wet Dates,5000.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/523,2026-04-27,GI- Eatrite Fard Dates 500gm,AL BARAKAH FARD DATES STANDARD,5000.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/423,2026-04-21,GOOD LIFE ARABIAN DATES 500 g,Sayer Dates,4085.8,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/491,2026-04-25,GOOD LIFE FARD DATES 500 g,AL BARAKAH FARD DATES STANDARD,3164.2,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/786,2026-05-12,GOOD LIFE FARD DATES 500 g,AL BARAKAH FARD DATES STANDARD,1797.1,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/274,2026-04-14,GOOD LIFE FARD DATES 500 g,AL BARAKAH FARD DATES STANDARD,1582.1,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/574,2026-04-30,PL CLASSIC DATES 500G,AL BARAKAH SAYER DATES THERMO(500GM X 16),1520.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/411,2026-04-21,PL CLASSIC DATES 500G,AL BARAKAH SAYER DATES THERMO(500GM X 16),1496.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CDPL/26-27/14,2026-04-10,CURATE DATES KIMIA IMP IRAN 500G,Wet Dates (Mazafati),1344.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/275,2026-04-14,Delmonte Royal Fard Dates 200gm [1 Case x 36 unit] Promo,AL BARAKAH FARD DATES STANDARD,1296.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/44,2026-04-06,PL CLASSIC DATES 500G,AL BARAKAH SAYER DATES THERMO(500GM X 16),1192.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/269,2026-04-14,PL CLASSIC DATES 500G,AL BARAKAH SAYER DATES THERMO(500GM X 16),1128.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/108,2026-04-08,Delmonte Royal Fard Dates 450gm [1Case x 24Pack] PR,AL BARAKAH FARD DATES STANDARD,1080.0,
W-202,dates,-121935.8,ADJ-OUT (BOM),CND/26-27/109,2026-04-08,Delmonte Royal Fard Dates 450gm [1Case x 24Pack]NPR,AL BARAKAH FARD DATES STANDARD,1080.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
W-202,dates,-121935.8,XFR-OUT,TRANS202604171645,2026-04-17,WET DATES SAFAVI,W202→F53 [Received],15.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00270,2026-05-15,AL BARAKAH FARD DATES PREMIUM - 500g,,3200.0,PDF:APMC Sales Invoices (15th 
F-53,dates,-11397.8,OUTWARD,CF53/2627/00201,2026-04-28,Fardh Dates,,3000.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00236,2026-05-07,Medjoul Dates Super Jumbo,,2010.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00051,2026-04-03,Medjoul Dates Super Jumbo,,1040.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00051,2026-04-03,Medjoul Dates Large,,1040.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00083,2026-04-09,Ameri Dates,,990.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00153,2026-04-24,Deri Dates,,970.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00267,2026-05-15,King Solomon Medjoul Dates 500 Gms,,680.0,PDF:APMC Sales Invoices (15th 
F-53,dates,-11397.8,OUTWARD,CF53/2627/00248,2026-05-11,Mazafati Dates,,595.1,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00281,2026-05-18,AL BARAKAH FARD,,520.0,PDF:APMC Sales Invoices (18th 
F-53,dates,-11397.8,OUTWARD,CF53/2627/00070,2026-04-08,King Solomon Medjoul Dates 500 Gms,,480.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00223,2026-05-05,King Solomon Medjoul Dates 500 Gms,,480.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00107,2026-04-15,King Solomon Medjoul Dates 500 Gms,,400.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00139,2026-04-22,King Solomon Medjoul Dates 500 Gms,,400.0,
F-53,dates,-11397.8,OUTWARD,CF53/2627/00187,2026-04-28,King Solomon Medjoul Dates 500 Gms,,400.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00070,2026-04-08,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),494.4,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00223,2026-05-05,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),494.4,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00070,2026-04-08,King Solomon Medjoul Dates 500 Gms,Medjoul Dates Large,480.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00223,2026-05-05,King Solomon Medjoul Dates 500 Gms,Medjoul Dates Large,480.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00107,2026-04-15,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),412.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00139,2026-04-22,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),412.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00187,2026-04-28,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),412.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00244,2026-05-09,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),412.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00107,2026-04-15,King Solomon Medjoul Dates 500 Gms,Medjoul Dates Large,400.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00139,2026-04-22,King Solomon Medjoul Dates 500 Gms,Medjoul Dates Large,400.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00187,2026-04-28,King Solomon Medjoul Dates 500 Gms,Medjoul Dates Large,400.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00244,2026-05-09,King Solomon Medjoul Dates 500 Gms,Medjoul Dates Large,400.0,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00092,2026-04-11,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),370.8,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00140,2026-04-22,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),370.8,
F-53,dates,-11397.8,ADJ-OUT (BOM),CF53/2627/00154,2026-04-25,King Solomon Medjoul Dates 500 Gms,WET DATES MEDJOUL BULK LARGE (5),370.8,
F-53,dates,-11397.8,XFR-OUT,TRANS202604071714,2026-04-07,AL BARAKAH DATE SYRUP(1.15KG X 12),F53→W202 [Received],12.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202604071714,2026-04-07,AL BARAKAH DATE SYRUP(1.15KG X 12),F53→W202 [Received],12.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202604151454,2026-04-15,WET DATES SEEDLESS KHALAS,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131648,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131648,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131648,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131648,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131648,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131703,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131703,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131703,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131703,2026-05-13,AL BARAKAH FARD DATES D 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131705,2026-05-13,AL BARAKAH EMIRATES BLACK DATES 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202605131705,2026-05-13,AL BARAKAH EMIRATES BLACK DATES 10KG,F53→W202 [Received],10.0,
F-53,dates,-11397.8,XFR-OUT,TRANS202604111645,2026-04-11,FARDH DATES,F53→W202 [Received],9.6,
A-185,trail mix,-7135.6,OUTWARD,CND/26-27/154,2026-04-09,Healthy Choice 5 in 1 Seeds Mix 200gm,,1250.0,
A-185,trail mix,-7135.6,OUTWARD,CND/26-27/636,2026-05-04,Healthy Choice 5 in 1 Seeds Mix 200gm,,1000.0,
A-185,trail mix,-7135.6,OUTWARD,CND/26-27/677,2026-05-06,Healthy Choice 5 in 1 Seeds Mix 200gm,,1000.0,
A-185,trail mix,-7135.6,OUTWARD,CND/26-27/814,2026-05-13,Healthy Choice 5 in 1 Seeds Mix 200gm,,1000.0,PDF:130526\D-Mart {814} [Not F
A-185,trail mix,-7135.6,OUTWARD,CND/26-27/882,2026-05-16,Healthy Choice 5 in 1 Seeds Mix 200gm,,1000.0,PDF:160526\D-Mart {882}.pdf
A-185,trail mix,-7135.6,OUTWARD,CND/26-27/610,2026-04-30,Healthy Choice 5 in 1 Seeds Mix 200gm,,800.0,
A-185,trail mix,-7135.6,OUTWARD,CND/26-27/658,2026-05-05,Healthy Choice 5 in 1 Seeds Mix 200gm,,700.0,
