unit,group,closing_kg,opening,inward,inf_in,xfr_in,xfr_out,cn_in,outward,adj_in,adj_out
W-202,dates,-121935.8,48894.9,76174.4,0,54003.7,26414.7,32942.0,288829.4,91794.0,110863.2
F-53,dates,-11397.8,2276.0,0,0,16043.5,216.6,0,15534.0,15534.0,29500.8
A-185,trail mix,-7135.6,487.6,0,0,0,0,601.8,47214.0,39289.0,0
W-202,cashew,-5185.4,1735.1,7572.5,0,2203.1,310.0,0,15476.2,6732.5,7649.7
W-202,pista,-4858.7,6697.6,37399.4,0,3302.2,4392.1,6218.9,53539.8,41764.0,42309.0
W-202,peanuts,-1997.0,6.1,275.9,0,94.0,0,60.0,4143.0,3943.0,2233.0
W-202,trail mix,-1851.7,661.1,0,0,0,0,463.1,17117.9,14613.2,8.0
W-202,almond,-311.8,4522.6,47811.4,0,443.5,8290.2,52.6,43307.0,2677.6,4255.2
W-202,festive hampers,-60.0,0,0,0,0,0,0,75.0,15.0,0
W-202,tajir,-52.3,6.0,150.0,0,0,0,0,0,0,208.3
SAVLA,blueberry,-36.3,18.2,0,2288.2,0,2306.3,0,36.3,0,0
W-202,blackcurrant,-24.9,85.0,0,0,0,18.5,0,45.0,37.0,83.4
W-202,makhana,-2.6,3.4,0,0,0,0,0,6.0,0,0
