doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_pdf,page
CN,CF/CN/26-27/1,2-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),PL CLASSIC DATES 500G,16.0000,08041020,2328.00,CFPL_CN,1
CN,CF/CN/26-27/2,3-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Sunflower Seeds 200 g Rate Differance Billing Rate 43.44/- Actual Rate 43..24/-,0.0000,20081920,247.50,CFPL_CN,2
CN,CF/CN/26-27/3,4-Apr-26,CFPL,W-202,Western India Cashew Co. Pvt. Ltd.,Chilean Walnut Kernel,9.5000,08023200,10744.50,CFPL_CN,4
CN,CF/CN/26-27/4,6-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,American Almonds,8.4000,08021200,6395.00,CFPL_CN,5
CN,CF/CN/26-27/5,7-Apr-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,16.0000,08131000,18595.20,CFPL_CN,6
CN,CF/CN/26-27/6,11-Apr-26,CFPL,W-202,Reliance Retail Limited,NUTWORKS FINGER LIME & JALAPENO 75G PCH,5.4000,20081999,18100.80,CFPL_CN,8
CN,CF/CN/26-27/7,17-Apr-26,CFPL,W-202,Jagdish Trading Co,Processing & Packaging,0.0000,998816,3440.00,CFPL_CN,9
CN,CF/CN/26-27/8,13-Apr-26,CFPL,W-202,Nature’s Basket Limited (NW08),Natures American Almonds 1 KG (1416275),2.0000,08021200,1814.88,CFPL_CN,10
CN,CF/CN/26-27/9,17-Apr-26,CFPL,W-202,BAJO FOODS PRIVATE LIMITED,Peanut Spilit (Groundnut),30.0000,12023010,6750.00,CFPL_CN,11
CN,CF/CN/26-27/10,13-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),AUSTRALIA MCADAMIA DARKCHOCOLTE 100G PCH,2.4000,20081999,9624.00,CFPL_CN,12
CN,CF/CN/26-27/10,13-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),AUSTRALIA MACADAMIA HONEY ROAST 100G PCH,2.4000,20081999,8400.00,CFPL_CN,12
CN,CF/CN/26-27/10,13-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),AUSTRALIA MACADAMIA SWEETCHILLI 100G PCH,2.4000,20081999,8400.00,CFPL_CN,12
CN,CF/CN/26-27/10,13-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),AUSTRALIA MCDAMIA MILKCHOCOLATE 100G PCH,2.4000,20081999,9624.00,CFPL_CN,12
CN,CF/CN/26-27/10,13-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),MACSNACK DRYRST MCADAMIAMUNCHIE 200G PCH,4.8000,20081930,13142.40,CFPL_CN,12
CN,CF/CN/26-27/10,13-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),MACSNACK DRYRST MCADAMIAMUNCHIE 100G PCH,2.4000,20081930,7315.20,CFPL_CN,12
CN,CF/CN/26-27/10,13-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),MACSNACK R&S MACADAMIA MUNCHIES 100G PCH,2.4000,20081930,7519.20,CFPL_CN,12
CN,CF/CN/26-27/11,13-Apr-26,CFPL,W-202,Reliance Retail Limited,NUTWORKS WASABI 75G PCH,1.8000,20081999,6033.60,CFPL_CN,15
CN,CF/CN/26-27/11,13-Apr-26,CFPL,W-202,Reliance Retail Limited,NUTWORKS ROSEMARY & SEASALT 75G PCH,1.8000,20081999,6033.60,CFPL_CN,15
CN,CF/CN/26-27/12,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,2000.0000,20081930,2122560.00,CFPL_CN,17
CN,CF/CN/26-27/13,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,7.0000,20081930,8004.15,CFPL_CN,18
CN,CF/CN/26-27/14,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,8.5500,20081930,9776.50,CFPL_CN,19
CN,CF/CN/26-27/15,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,19.3500,20081930,20535.77,CFPL_CN,20
CN,CF/CN/26-27/16,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,11.1500,20081930,11833.27,CFPL_CN,21
CN,CF/CN/26-27/17,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,California Pista Inshell,9.4700,20081930,10050.32,CFPL_CN,22
CN,CF/CN/26-27/18,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,18.9400,20081930,20250.65,CFPL_CN,23
CN,CF/CN/26-27/19,13-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,3.3300,20081930,3560.44,CFPL_CN,24
CN,CF/CN/26-27/21,14-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,100.0000,20081930,25819.20,CFPL_CN,26
CN,CF/CN/26-27/22,14-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,150.0000,20081920,70344.45,CFPL_CN,27
CN,CF/CN/26-27/23,14-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,4.9300,20081930,5656.73,CFPL_CN,28
CN,CF/CN/26-27/24,16-Apr-26,CFPL,W-202,RELIANCE RETAIL LIMITED,PL CLASSIC DATES 500G,8.0000,08041020,1164.00,CFPL_CN,29
CN,CF/CN/26-27/25,17-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),Zorro Sweet & Spicy Pecan 100g,2.4000,20081930,5448.00,CFPL_CN,30
CN,CF/CN/26-27/25,17-Apr-26,CFPL,W-202,Reliance Retail Limited (Navi Mumbai),NUTWORKS FINGER LIME & JALAPENO 75G PCH,1.8000,20081999,6033.60,CFPL_CN,30
CN,CF/CN/26-27/26,17-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,4.0500,20081930,4647.01,CFPL_CN,32
CN,CF/CN/26-27/27,17-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,6.8600,20081930,7871.23,CFPL_CN,33
CN,CF/CN/26-27/28,17-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,3.8200,20081930,4383.11,CFPL_CN,34
CN,CF/CN/26-27/29,17-Apr-26,CFPL,W-202,ALIGN RETAIL TRADES PVT LTD,Pista Irani 101 Inshell,5.7600,20081930,6609.08,CFPL_CN,35
