sku_id,particulars,item_type,item_group,sub_group,uom,sale_group,gst
1,0m24-carnival chana pouch 250 gm sample digital,pm,packaging,pouch roll,0.000,pm,0.180
2,4 pet wooden box with lid hamper,fg,festive hampers,gifting,0.400,va,0.180
3,banana flavour (241114) natural,rm,seasoning,seasoning,1.000,bulk,0.180
4,barbeque flavour,rm,seasoning,seasoning,1.000,bulk,0.180
5,blackpepper seasoning blend,rm,seasoning,seasoning,1.000,bulk,0.180
6,black pepper topnote liquid,rm,seasoning,seasoning,1.000,bulk,0.180
7,brahmi extract,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
8,caramel sweet popcorn flavour,rm,seasoning,seasoning,1.000,bulk,0.180
9,celebration sleek box 300gm,fg,festive hampers,gifting,0.300,va,0.180
10,chilli garlic flavour,rm,seasoning,seasoning,1.000,bulk,0.180
11,chocolate flavour,rm,seasoning,seasoning,1.000,bulk,0.180
12,chocolate flavour 170522,rm,seasoning,seasoning,1.000,bulk,0.180
13,cinnamon flavour,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
14,citric acid,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
15,classic wooden box 480gm,fg,festive hampers,gifting,0.480,va,0.180
16,cocoa butter,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
17,cocoa powder,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
18,coffee ext aqu alc - 4010000239,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
19,coffee flavour,rm,seasoning,seasoning,1.000,bulk,0.180
20,compound [strawberry flvours],rm,miscellaneous - rm,other misc,1.000,bulk,0.180
21,cranberry flavour 280619,rm,seasoning,seasoning,1.000,bulk,0.180
22,extra cheese label - tpl,pm,packaging,label,0.000,pm,0.180
23,garlic liquid - 4010003414,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
24,glues / gum,pm,packaging,pm,0.000,pm,0.180
25,glycerin,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
26,glycerol monostearate (gms) powder,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
27,gour gum,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
28,green chilli ( 4010000169 ),rm,seasoning,seasoning,1.000,bulk,0.180
29,green tea extract,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
30,grey carry all basket hamper,fg,festive hampers,gifting,0.555,va,0.180
31,hemp seed oil,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
32,instant coffee powder,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
33,jute floppy bag hamper,fg,festive hampers,gifting,0.960,va,0.180
34,kerry artificial cheese flavor - tpl,rm,tajir,tajir - other,1.000,bulk,0.180
35,kerry n&a butter flavour - tpl,rm,seasoning,seasoning,1.000,bulk,0.180
36,leaf green 500 gm,rm,miscellaneous - rm,other misc,0.500,bulk,0.180
37,lemon pickle,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
38,maggi masala flavours,rm,seasoning,seasoning,1.000,bulk,0.180
39,maltitol liquid,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
40,mango flavour 291018,rm,seasoning,seasoning,1.000,bulk,0.180
41,mdf premium medjoul dates box 18 pcs,fg,festive hampers,gifting,0.540,va,0.180
42,mint chutney flavour 1,rm,seasoning,seasoning,1.000,bulk,0.180
43,mint chutney flavour 2,rm,seasoning,seasoning,1.000,bulk,0.180
44,misc packing material,pm,packaging,pm,0.000,pm,0.180
45,modified starch- crispytec,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
46,moringa extract,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
47,mould  & design plate for pm,pm,packaging,mould,0.000,pm,0.180
48,nasure 19,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
49,natural pineapple falvour 170914,rm,seasoning,seasoning,1.000,bulk,0.180
50,natural red colour - tpl,rm,tajir,tajir - other,1.000,bulk,0.180
51,nealsoya 16-b,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
52,nitrogen f grade,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
53,nuts cutter,pm,packaging,pm,0.000,pm,0.180
54,orange flavour 220509,rm,seasoning,seasoning,1.000,bulk,0.180
55,orange supreme oil flavour,rm,seasoning,seasoning,1.000,bulk,0.180
56,orange zest liquid extract,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
57,other scrap,rm,miscellaneous - rm,off-grade misc,1.000,bulk,0.180
58,peri peri liquid,rm,seasoning,seasoning,1.000,bulk,0.180
59,peri peri liquid - 4010003520,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
60,pickwick 300g roll jar,rm,miscellaneous - rm,other misc,0.300,bulk,0.180
61,pickwick hollow wafer stick,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
62,pickwick plain wafers,rm,miscellaneous - rm,other misc,1.000,bulk,0.180
63,pm24-1000 ml oval container-habit dates (white jar with white colour lid). 900 gm,pm,packaging,tub,0.000,pm,0.180
64,pm24-100 gm glass bottle-medium sized 100 gm,pm,packaging,glass bottle,0.000,pm,0.180
65,pm24-100gm pet-53mm neck with cap & iw,pm,packaging,pet,0.000,pm,0.180
66,pm24-100 ml yenki jar bottle 100 gm,pm,packaging,glass bottle,0.000,pm,0.180
67,pm24-100ml yenki jar bottle top 100 gm,pm,packaging,glass cap,0.000,pm,0.180
68,pm24-100 mm ro caps reliance pgp 1 kg,pm,packaging,cap,0.000,pm,0.180
69,pm24-100mm silver cap for glass jar reliance rgp 1 kg,pm,packaging,cap,0.000,pm,0.180
70,pm24-100mm x 100mm plain 1000 label,pm,packaging,label,0.000,pm,0.180
71,"pm24-100mm x 50mm 1000l 1 core, choromo veg logo 500 units",pm,packaging,label,0.000,pm,0.180
72,pm24- 100x100mm-chromo labels -plain veg mark,pm,packaging,label,0.000,pm,0.180
73,pm24- 100x100mm-chromo labels -veg logo with candor print (without address),pm,packaging,label,0.000,pm,0.180
74,pm24-10kg candor print ld pouch (18.5x26) 10 kg,pm,packaging,pouch,0.000,pm,0.180
75,pm24-10x12 plain pouch 1000 gm,pm,packaging,pouch,0.000,pm,0.180
76,pm24-12 dates printed box 12 pc,pm,packaging,pm,0.000,pm,0.180
77,pm24-12 pc cavity printed box 500 gm,pm,packaging,box,0.000,pm,0.180
78,"pm24-13""ct 303 shrink film ( for 500 gm) cryovac® brand, 11/12 micron-1900 mtr. 500 gm",pm,packaging,shrink film,0.000,pm,0.180
79,"pm 24-15"" ct 303 shrink film , 11/12 micron-1900 mtr",pm,packaging,shrink film,0.000,pm,0.180
